tweet_count,tweet_id,username,text,created at,url
367,1836871922073637052,Fabrizio Romano,Historical night for Brest! 🔴🇫🇷 https://t.co/GI4H9lS7Wz,Thu Sep 19 20:56:08 +0000 2024,https://twitter.com/FabrizioRomano/status/1836871922073637052
368,1836870898722414593,Fabrizio Romano,Draw in Bergamo between Arsenal and Atalanta. https://t.co/vvJ0H7WfeZ,Thu Sep 19 20:52:04 +0000 2024,https://twitter.com/FabrizioRomano/status/1836870898722414593
369,1836860266513867167,Fabrizio Romano,"🔴⚪️ David Raya, insane goalkeeper.

One more fantastic (double) save after what he did in Premier League against Aston Villa. https://t.co/vFa5qaPrO9",Thu Sep 19 20:09:49 +0000 2024,https://twitter.com/FabrizioRomano/status/1836860266513867167
370,1836852314029662263,Fabrizio Romano,"🧞‍♂️✨ Lamine Yamal has scored 4 goals and provided 4 assists in first 6 games of the season with Bar elona…

vs Valencia 🅰️
vs Athletic Bilbao ⚽️
vs Rayo Vallecano 🅰️
vs Real Valladolid 🅰️🅰️
vs Girona ⚽️⚽️
vs Monaco ⚽️

Insane talent. 🪄 https://t.co/YEuZG6yXyO",Thu Sep 19 19:38:13 +0000 2024,https://twitter.com/FabrizioRomano/status/1836852314029662263
371,1836850658512699619,Fabrizio Romano,🔵🔴✨ First Champions League goal ever for Lamine Yamal! https://t.co/aOthO6FvMO,Thu Sep 19 19:31:38 +0000 2024,https://twitter.com/FabrizioRomano/status/1836850658512699619
372,1836847556942246037,Fabrizio Romano,"🔴⚪️✨ Magnes Akhliouche scores his first Champions League goal ever… and it’s a beautiful one tonight vs Barça.

Monaco extended his contract in August after several clubs started to approach them. https://t.co/n4eM2zkveF",Thu Sep 19 19:19:19 +0000 2024,https://twitter.com/FabrizioRomano/status/1836847556942246037
373,1836844364175221228,Fabrizio Romano,"🔴⚪️ Benjamin Sesko scores on the first Champions League game of the season!

He’s already back at it. ✨🇸🇮 https://t.co/NZPMZNvVSf",Thu Sep 19 19:06:37 +0000 2024,https://twitter.com/FabrizioRomano/status/1836844364175221228
374,1836837804766027830,Fabrizio Romano,The perfect UCL impact for Bayer Leverkusen and Benfica. ✨🇪🇺 https://t.co/WarMWVzHni,Thu Sep 19 18:40:34 +0000 2024,https://twitter.com/FabrizioRomano/status/1836837804766027830
375,1836818445100310949,Fabrizio Romano,"🔴⚫️ 36 minutes, 2 goals for Florian Wirtz.

🪄🇩🇪 https://t.co/LehDdthivQ",Thu Sep 19 17:23:38 +0000 2024,https://twitter.com/FabrizioRomano/status/1836818445100310949
376,1836817674669637703,Fabrizio Romano,"🔴⚫️🇪🇸 It’s already two goals this season for Alejandro Grimaldo at Bayer Leverkusen.

The goal contributions machine is back. https://t.co/a0WKOwaymH",Thu Sep 19 17:20:34 +0000 2024,https://twitter.com/FabrizioRomano/status/1836817674669637703
377,1836814391661969552,Fabrizio Romano,"🔴🇹🇷 Five goals in three games for Kerem Aktürkoğlu with club and country.

Tonight, first Champions League goal as Benfica player since joining from Galatasaray. https://t.co/Iyhbi7HroW",Thu Sep 19 17:07:31 +0000 2024,https://twitter.com/FabrizioRomano/status/1836814391661969552
378,1836813801926070393,Fabrizio Romano,"🟡⚫️🇬🇷 Anthony Martial signs in as new AEK Athens player, formal steps completed. https://t.co/Hbrxaa6hNQ",Thu Sep 19 17:05:11 +0000 2024,https://twitter.com/FabrizioRomano/status/1836813801926070393
